"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Edwards A.J.; Benson L.; Guo Z.; López-García M.; Noakes C.J.; Peckham D.; King M.-F.","Edwards, Alexander J. (58209947400); Benson, Lee (57359657300); Guo, Zeyu (58209073800); López-García, Martín (36647824200); Noakes, Catherine J. (6603481396); Peckham, Daniel (7005935206); King, Marco-Felipe (55383157200)","58209947400; 57359657300; 58209073800; 36647824200; 6603481396; 7005935206; 55383157200","A mathematical model for assessing transient airborne infection risks in a multi-zone hospital ward","2023","Building and Environment","238","","110344","","","","9","10.1016/j.buildenv.2023.110344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154558543&doi=10.1016%2fj.buildenv.2023.110344&partnerID=40&md5=25ad4a2abb6bb5f093090bf8cff6fd09","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85154558543"
"Gough H.L.; Barlow J.F.; Luo Z.; King M.-F.; Halios C.H.; Grimmond C.S.B.","Gough, H.L. (57195310189); Barlow, J.F. (7402197813); Luo, Z. (35746716000); King, M.-F. (55383157200); Halios, C.H. (8705436400); Grimmond, C.S.B. (55188785600)","57195310189; 7402197813; 35746716000; 55383157200; 8705436400; 55188785600","Evaluating single-sided natural ventilation models against full-scale idealised measurements: Impact of wind direction and turbulence","2020","Building and Environment","170","","106556","","","","33","10.1016/j.buildenv.2019.106556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076847037&doi=10.1016%2fj.buildenv.2019.106556&partnerID=40&md5=05b0d57cabca4c224a10a061eee5d360","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85076847037"
"O’Toole C.; McGrath J.A.; King M.-F.; López-García M.; Byrne M.A.","O’Toole, Ciarraí (57205037696); McGrath, James A. (55782858100); King, Marco-Felipe (55383157200); López-García, Martín (36647824200); Byrne, Miriam A. (7202358519)","57205037696; 55782858100; 55383157200; 36647824200; 7202358519","Development and Application of a Computational Model to Predict Fugitive Emissions during Nebuliser Therapy","2024","18th Conference of the International Society of Indoor Air Quality and Climate, INDOOR AIR 2024 - Conference Program and Proceedings","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210834559&partnerID=40&md5=a87a92c78cc11129ab688912c7001451","Conference paper","Final","","Scopus","2-s2.0-85210834559"
"Hiwar W.; King M.-F.; Shuweihdi F.; Fletcher L.A.; Dancer S.J.; Noakes C.J.","Hiwar, Waseem (57217068581); King, Marco-Felipe (55383157200); Shuweihdi, Farag (55766514600); Fletcher, Louise A. (7101843418); Dancer, Stephanie J. (7003919753); Noakes, Catherine J. (6603481396)","57217068581; 55383157200; 55766514600; 7101843418; 7003919753; 6603481396","What is the relationship between indoor air quality parameters and airborne microorganisms in hospital environments? A systematic review and meta-analysis","2021","Indoor Air","31","5","","1308","1322","14","44","10.1111/ina.12846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105108136&doi=10.1111%2fina.12846&partnerID=40&md5=d1d14889cd32b9f5eeae77be06cbed17","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85105108136"
"Wilson A.M.; King M.-F.; López-García M.; Clifton I.J.; Proctor J.; Reynolds K.A.; Noakes C.J.","Wilson, Amanda M. (57195611222); King, Marco-Felipe (55383157200); López-García, Martín (36647824200); Clifton, Ian J. (35271234500); Proctor, Jessica (57218161473); Reynolds, Kelly A. (7201538123); Noakes, Catherine J. (6603481396)","57195611222; 55383157200; 36647824200; 35271234500; 57218161473; 7201538123; 6603481396","Effects of patient room layout on viral accruement on healthcare professionals' hands","2021","Indoor Air","31","5","","1657","1672","15","9","10.1111/ina.12834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113101094&doi=10.1111%2fina.12834&partnerID=40&md5=77c812bf75e31110ff2e440cf9830e85","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85113101094"
"Miao D.; Xue P.; King M.-F.; Zhang N.","Miao, Doudou (57262334000); Xue, Peng (55963355400); King, Marco-Felipe (55383157200); Zhang, Nan (56587197300)","57262334000; 55963355400; 55383157200; 56587197300","University closure plays a critical role for COVID-19 control","2024","18th Conference of the International Society of Indoor Air Quality and Climate, INDOOR AIR 2024 - Conference Program and Proceedings","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210854808&partnerID=40&md5=1b8c454de2535d7194d91cc477e7cf36","Conference paper","Final","","Scopus","2-s2.0-85210854808"
"King M.-F.; Khan A.; Noakes C.J.","King, Marco-Felipe (55383157200); Khan, Amirul (55800396100); Noakes, Catherine J. (6603481396)","55383157200; 55800396100; 6603481396","Coupled indoor/outdoor airflow simulation comparing ANSYS Fluent with a GPU-based lattice Boltzmann model for urban environments","2018","15th Conference of the International Society of Indoor Air Quality and Climate, INDOOR AIR 2018","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105620851&partnerID=40&md5=86f90f5afbbe0ccb1ddb12f783883923","Conference paper","Final","","Scopus","2-s2.0-85105620851"
"Hiwar W.; King M.-F.; Shuweihdi F.; Fletcher L.; Dancer S.J.; Noakes C.","Hiwar, Waseem (57217068581); King, Marco-Felipe (55383157200); Shuweihdi, Farag (55766514600); Fletcher, Louise (7101843418); Dancer, S.J. (7003919753); Noakes, Catherine (6603481396)","57217068581; 55383157200; 55766514600; 7101843418; 7003919753; 6603481396","Relationships between airborne microorganism levels and ambient air temperature and relative humidity in hospitals: A systematic review and meta-analysis","2020","16th Conference of the International Society of Indoor Air Quality and Climate: Creative and Smart Solutions for Better Built Environments, Indoor Air 2020","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101604178&partnerID=40&md5=39032cfff2f46a6f101c2d296d22e78b","Conference paper","Final","","Scopus","2-s2.0-85101604178"
"King M.-F.; Noakes C.J.; Sleigh P.A.","King, Marco-Felipe (55383157200); Noakes, Catherine J. (6603481396); Sleigh, P. Andrew (57266098300)","55383157200; 6603481396; 57266098300","The role of surfaces in the transmission of bioaerosols from source to patient in hospital single and two-bed rooms","2014","Indoor Air 2014 - 13th International Conference on Indoor Air Quality and Climate","","","","673","679","6","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924673941&partnerID=40&md5=34a84058d979d65c32cbf5cdc2851110","Conference paper","Final","","Scopus","2-s2.0-84924673941"
"Dancer S.J.; Cormack K.; Loh M.; Coulombe C.; Thomas L.; Pravinkumar S.J.; Kasengele K.; King M.-F.; Keaney J.","Dancer, S.J. (7003919753); Cormack, K. (57376898200); Loh, M. (58833437400); Coulombe, C. (56292178400); Thomas, L. (57659992800); Pravinkumar, S.J. (35782542300); Kasengele, K. (57377671600); King, M.-F. (55383157200); Keaney, J. (57377824700)","7003919753; 57376898200; 58833437400; 56292178400; 57659992800; 35782542300; 57377671600; 55383157200; 57377824700","Healthcare-acquired clusters of COVID-19 across multiple wards in a Scottish health board","2022","Journal of Hospital Infection","120","","","23","30","7","9","10.1016/j.jhin.2021.11.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121428135&doi=10.1016%2fj.jhin.2021.11.019&partnerID=40&md5=a9d2f0abd7db7b6f04fe69f56d676b50","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85121428135"
