"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fisher D.E.; Rees S.J.","Fisher, Daniel E. (56849814600); Rees, Simon J. (7103148081)","56849814600; 7103148081","Modeling ground source heat pump systems in a building energy simulation program (energyplus)","2005","IBPSA 2005 - International Building Performance Simulation Association 2005","","","","311","318","7","22","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869661345&partnerID=40&md5=1f14dc377e07004e37763c37719587c1","Conference paper","Final","","Scopus","2-s2.0-84869661345"
"Rees S.J.; Spitler J.D.; Haves Ph.","Rees, S.J. (7103148081); Spitler, J.D. (7004014855); Haves, Ph. (7004627488)","7103148081; 7004014855; 7004627488","Quantitative comparison of North American and U.K. cooling load calculation procedures - results","1998","ASHRAE Transactions","104","2","","47","61","14","17","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032315603&partnerID=40&md5=632133c4af7788b29674350ab54951d5","Conference paper","Final","","Scopus","2-s2.0-0032315603"
"Rees Simon J.; Spitler Jeffrey D.","Rees, Simon J. (7103148081); Spitler, Jeffrey D. (7004014855)","7103148081; 7004014855","Proposals for a building loads diagnostic test procedure","1999","ASHRAE Transactions","105","","","PART2/","","","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033333206&partnerID=40&md5=7bb5fc7c285f7412810e3180e7c66958","Conference paper","Final","","Scopus","2-s2.0-0033333206"
"Meibodi S.S.; Rees S.; Yang D.","Meibodi, Saleh Salavati (57214593635); Rees, Simon (7103148081); Yang, Dongmin (55777514200)","57214593635; 7103148081; 55777514200","Modelling the dynamic thermal response of turbulent fluid flow through pipelines","2019","Building Simulation Conference Proceedings","2","","","1357","1364","7","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107464173&partnerID=40&md5=00ac1ba1eea447d82f2eec7326aa17a4","Conference paper","Final","","Scopus","2-s2.0-85107464173"
"Liu X.; Rees S.J.; Spitler J.D.","Liu, Xiaobing (55717154500); Rees, Simon J. (7103148081); Spitler, Jeffrey D. (7004014855)","55717154500; 7103148081; 7004014855","Modeling snow melting on heated pavement surfaces. Part I: Model development","2007","Applied Thermal Engineering","27","5-6","","1115","1124","9","162","10.1016/j.applthermaleng.2006.06.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845584693&doi=10.1016%2fj.applthermaleng.2006.06.017&partnerID=40&md5=f3db1b83bb0857f163a7116fa48d7149","Article","Final","","Scopus","2-s2.0-33845584693"
"Rees S.J.; Haves P.","Rees, S.J. (7103148081); Haves, P. (7004627488)","7103148081; 7004627488","A nodal model for displacement ventilation and chilled ceiling systems in office spaces","2001","Building and Environment","36","6","","753","762","9","39","10.1016/S0360-1323(00)00067-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035400022&doi=10.1016%2fS0360-1323%2800%2900067-6&partnerID=40&md5=8c6befc3cee56c56e3f9baab596fee58","Article","Final","","Scopus","2-s2.0-0035400022"
"Rees S.J.","Rees, Simon J. (7103148081)","7103148081","An extended two-dimensional borehole heat exchanger model for simulation of short and medium timescale thermal response","2015","Renewable Energy","83","","","518","526","8","32","10.1016/j.renene.2015.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929603539&doi=10.1016%2fj.renene.2015.05.004&partnerID=40&md5=bafa89a28a1c5a019733b09f2d22160f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84929603539"
"Rees Simon J.; Spitler Jeffrey D.; Davies Morris G.; Haves Philip","Rees, Simon J. (7103148081); Spitler, Jeffrey D. (7004014855); Davies, Morris G. (7404207740); Haves, Philip (7004627488)","7103148081; 7004014855; 7404207740; 7004627488","Qualitative comparison of North American and U.K. cooling load calculation methods","2000","ASHRAE Transactions","106","","","PA/","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034460646&partnerID=40&md5=cc5900c113d00ce12dea13cd0e9f2a41","Article","Final","","Scopus","2-s2.0-0034460646"
"Dadioti R.; Rees S.","Dadioti, Rallou (55907430200); Rees, Simon (7103148081)","55907430200; 7103148081","Performance of Detached Eddy Simulation applied to Analysis of a University Campus Wind Environment","2017","Energy Procedia","134","","","366","375","9","8","10.1016/j.egypro.2017.09.551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032664703&doi=10.1016%2fj.egypro.2017.09.551&partnerID=40&md5=871c1c3cbf26b6b2c3bf840d6c5841fc","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85032664703"
"Rees S.J.; McGuirk J.J.; Haves P.","Rees, S.J. (7103148081); McGuirk, J.J. (7005232108); Haves, P. (7004627488)","7103148081; 7005232108; 7004627488","Numerical investigation of transient buoyant flow in a room with a displacement ventilation and chilled ceiling system","2001","International Journal of Heat and Mass Transfer","44","16","","3067","3080","13","39","10.1016/S0017-9310(00)00348-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035912867&doi=10.1016%2fS0017-9310%2800%2900348-3&partnerID=40&md5=fb50a4e965e29adc1b25e91904172a41","Article","Final","","Scopus","2-s2.0-0035912867"
"He M.; Rees S.; Shao L.","He, Miaomiao (58323632200); Rees, Simon (7103148081); Shao, Li (57189421103)","58323632200; 7103148081; 57189421103","Simulation of a domestic ground source heat pump system using a transient numerical borehole heat exchanger model","2009","IBPSA 2009 - International Building Performance Simulation Association 2009","","","","607","614","7","25","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861647999&partnerID=40&md5=01af1fe7333dff170c4893234b8a298f","Conference paper","Final","","Scopus","2-s2.0-84861647999"
"S. Meibodi S.; Rees S.","S. Meibodi, Saleh (57214593635); Rees, Simon (7103148081)","57214593635; 7103148081","Experimental validation of the dynamic thermal network approach in modeling buried pipes","2023","Science and Technology for the Built Environment","29","6","","589","605","16","2","10.1080/23744731.2023.2222622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163004759&doi=10.1080%2f23744731.2023.2222622&partnerID=40&md5=722486606db94a7a3b8376da80a1e2ee","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85163004759"
"Meibodi S.S.; Rees S.","Meibodi, Saleh Salavati (57214593635); Rees, Simon (7103148081)","57214593635; 7103148081","Dynamic thermal response modelling of turbulent fluid flow through pipelines with heat losses","2020","International Journal of Heat and Mass Transfer","151","","119440","","","","17","10.1016/j.ijheatmasstransfer.2020.119440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078836771&doi=10.1016%2fj.ijheatmasstransfer.2020.119440&partnerID=40&md5=304ea09ced3e6b4a3e77c42171e48212","Article","Final","","Scopus","2-s2.0-85078836771"
"Rees S.J.","Rees, S.J. (7103148081)","7103148081","An introduction to ground-source heat pump technology","2016","Advances in Ground-Source Heat Pump Systems","","","","2","25","23","34","10.1016/B978-0-08-100311-4.00001-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008225426&doi=10.1016%2fB978-0-08-100311-4.00001-7&partnerID=40&md5=d15a1a3a3d999bebe52e565b81136905","Book chapter","Final","","Scopus","2-s2.0-85008225426"
