"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Xu L.; Xu R.; Shashank B.S.; Chen X.; Yu J.; Wu C.","Xu, Liyang (56294475600); Xu, Riqing (7402814160); Shashank, Bettadapura Subramanyam (58762883700); Chen, Xiaohui (55571370200); Yu, Jianlin (55676532100); Wu, Chuangzhou (55551267200)","56294475600; 7402814160; 58762883700; 55571370200; 55676532100; 55551267200","An improved quantification method for characterisation of clay microstructure using SEM","2022","Environmental Geotechnics","11","4","","319","338","19","3","10.1680/jenge.21.00036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124727079&doi=10.1680%2fjenge.21.00036&partnerID=40&md5=8760305f991f69a5199068b14b0b84f2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85124727079"
"Ma Y.; Chen X.; Hosking L.J.; Yu H.-S.; Thomas H.R.","Ma, Yue (57212460608); Chen, Xiaohui (55571370200); Hosking, Lee J. (57202306754); Yu, Hai-Sui (7405852531); Thomas, Hywel R. (7403742275)","57212460608; 55571370200; 57202306754; 7405852531; 7403742275","THMC constitutive model for membrane geomaterials based on Mixture Coupling Theory","2022","International Journal of Engineering Science","171","","103605","","","","13","10.1016/j.ijengsci.2021.103605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119841192&doi=10.1016%2fj.ijengsci.2021.103605&partnerID=40&md5=dfbce6ae18436581f720698c876864ec","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85119841192"
"Liu C.; Chen X.; Banwart S.A.; Du W.; Yin Y.; Guo H.","Liu, Cuicui (57205586153); Chen, Xiaohui (55571370200); Banwart, Steven A. (7004573474); Du, Wenchao (54888423400); Yin, Ying (36057665300); Guo, Hongyan (7404404180)","57205586153; 55571370200; 7004573474; 54888423400; 36057665300; 7404404180","A novel permeable reactive biobarrier for ortho-nitrochlorobenzene pollution control in groundwater: Experimental evaluation and kinetic modelling","2021","Journal of Hazardous Materials","420","","126563","","","","4","10.1016/j.jhazmat.2021.126563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109608038&doi=10.1016%2fj.jhazmat.2021.126563&partnerID=40&md5=f8a68be303889e7f65bd7517d5594f06","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85109608038"
"Wang K.; Tan W.; Si Y.; Ma Y.; Chen X.-H.; Ding A.","Wang, Kai (59610676300); Tan, Wenjie (58258734000); Si, Yanxiao (55616938500); Ma, Yue (57212460608); Chen, Xiao-Hui (55571370200); Ding, Aizhong (8256512800)","59610676300; 58258734000; 55616938500; 57212460608; 55571370200; 8256512800","A solute transport in deformable dual-porosity media using mixture-coupling theory","2023","Environmental Geotechnics","11","3","","165","179","14","2","10.1680/jenge.22.00029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159587738&doi=10.1680%2fjenge.22.00029&partnerID=40&md5=ebf87b51f7bad9490b8d3ef0d8e101d4","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85159587738"
"Baqer Y.; Chen X.","Baqer, Yousef (57188701864); Chen, Xiaohui (55571370200)","57188701864; 55571370200","A review on reactive transport model and porosity evolution in the porous media","2022","Environmental Science and Pollution Research","29","32","","47873","47901","28","29","10.1007/s11356-022-20466-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129533959&doi=10.1007%2fs11356-022-20466-w&partnerID=40&md5=f267cded726e5e9af4a22425c51154f6","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85129533959"
"Li J.; Jiang W.; Ge S.; Chen X.; Chen X.; Liu L.","Li, Jiangshan (49361664100); Jiang, Wenhao (57284108100); Ge, Shangqi (57218115369); Chen, Xiaohui (55571370200); Chen, Xin (57221569541); Liu, Lei (59157674300)","49361664100; 57284108100; 57218115369; 55571370200; 57221569541; 59157674300","General analytical solutions for one-dimensional nonlinear consolidation of saturated clay under non-isothermal distribution condition","2022","International Journal for Numerical and Analytical Methods in Geomechanics","46","10","","1811","1830","19","17","10.1002/nag.3369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128939020&doi=10.1002%2fnag.3369&partnerID=40&md5=705887046e54dde31a8f36580fd75eb6","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85128939020"
"Taccari M.L.; Wang H.; Goswami S.; Florio M.D.; Nuttall J.; Chen X.; Jimack P.K.","Taccari, Maria Luisa (57193403701); Wang, He (54413077700); Goswami, Somdatta (7102060904); Florio, Mario De (57219684669); Nuttall, Jonathan (59435157300); Chen, Xiaohui (55571370200); Jimack, Peter K. (6603931579)","57193403701; 54413077700; 7102060904; 57219684669; 59435157300; 55571370200; 6603931579","Developing a cost-effective emulator for groundwater flow modeling using deep neural operators","2024","Journal of Hydrology","630","","130551","","","","4","10.1016/j.jhydrol.2023.130551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184992132&doi=10.1016%2fj.jhydrol.2023.130551&partnerID=40&md5=6c49a01d3ff8ba851025acdebe27ae98","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85184992132"
"Chen L.; Wu D.; Jiang T.; Yin Y.; Du W.; Chen X.; Sun Y.; Wu J.; Guo H.","Chen, Lei (57193855064); Wu, Danni (57891068600); Jiang, Tao (57917293700); Yin, Ying (36057665300); Du, Wenchao (54888423400); Chen, Xiaohui (55571370200); Sun, Yuanyuan (8254874000); Wu, Jichun (7409256839); Guo, Hongyan (7404404180)","57193855064; 57891068600; 57917293700; 36057665300; 54888423400; 55571370200; 8254874000; 7409256839; 7404404180","A novel heterogeneous catalytic system (AC/ZVI/CaO2) promotes simultaneous removal of phosphate and sulfamethazine: Performance, mechanism and application feasibility verification","2023","Water Research","237","","119977","","","","18","10.1016/j.watres.2023.119977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153102247&doi=10.1016%2fj.watres.2023.119977&partnerID=40&md5=d063004dac0ec76a9b4df0c6798ec41d","Article","Final","","Scopus","2-s2.0-85153102247"
"Baqer Y.; Bateman K.; Tan V.M.S.; Stewart D.I.; Chen X.; Thornton S.F.","Baqer, Yousef (57188701864); Bateman, Keith (56216376600); Tan, Vanessa M. S. (57312846100); Stewart, Douglas I. (35305889000); Chen, Xiaohui (55571370200); Thornton, Steven F. (7101689883)","57188701864; 56216376600; 57312846100; 35305889000; 55571370200; 7101689883","The Influence of Hyper-Alkaline Leachate on a Generic Host Rock Composition for a Nuclear Waste Repository: Experimental Assessment and Modelling of Novel Variable Porosity and Surface Area","2021","Transport in Porous Media","140","2","","559","580","21","3","10.1007/s11242-021-01702-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117915980&doi=10.1007%2fs11242-021-01702-2&partnerID=40&md5=c609846b9b03a645c768335d2d24ee9f","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85117915980"
"Xu C.; Han L.; Wang K.; Chen X.","Xu, Changyu (57208258814); Han, Lijun (8699136500); Wang, Kai (59221439200); Chen, Xiaohui (55571370200)","57208258814; 8699136500; 59221439200; 55571370200","THMD Coupling Model for Water-Conducting Fracture Zones of Mines Based on Dual-Porosity Media","2025","International Journal of Geomechanics","25","5","04025052","","","","0","10.1061/IJGNAI.GMENG-10343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218492088&doi=10.1061%2fIJGNAI.GMENG-10343&partnerID=40&md5=38bc266ac4698fb3ca45eb064ee34f27","Article","Final","","Scopus","2-s2.0-85218492088"
"Abdullah S.; Ma Y.; Wang K.; Subramanyam S.; Chen X.; Khan A.","Abdullah, Sulaiman (57694553200); Ma, Yue (57212460608); Wang, Kai (59610676300); Subramanyam, Shashank (58762883700); Chen, Xiaohui (55571370200); Khan, Amirul (55800396100)","57694553200; 57212460608; 59610676300; 58762883700; 55571370200; 55800396100","Two-phase interaction in isothermal hydro-mechanical-chemical coupling for improved carbon geological sequestration modelling","2024","Geomechanics and Geoengineering","19","4","","532","550","18","0","10.1080/17486025.2023.2292160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179745544&doi=10.1080%2f17486025.2023.2292160&partnerID=40&md5=f4755192da968927fc9ecaf470b7eda1","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85179745544"
"Humphries N.H.; Thornton S.F.; Chen X.; Bray A.W.; Stewart D.I.","Humphries, Nicholas H. (58249005700); Thornton, Steven F. (7101689883); Chen, Xiaohui (55571370200); Bray, Andrew W. (54396706900); Stewart, Douglas I. (35305889000)","58249005700; 7101689883; 55571370200; 54396706900; 35305889000","Response of soil bacterial populations to application of biosolids under short-term flooding","2023","Environmental Science and Pollution Research","30","28","","72978","72992","14","3","10.1007/s11356-023-27424-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159257691&doi=10.1007%2fs11356-023-27424-0&partnerID=40&md5=312325ccc44de8b5f49e0761d88e84b0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85159257691"
