"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zhao X.; Hou S.; Zhang X.; Hubacek K.; Tillotson M.R.; Liu Y.; Liu J.","Zhao, Xu (55705204100); Hou, Siyu (57204200959); Zhang, Xinxin (56666217500); Hubacek, Klaus (55802235200); Tillotson, Martin R. (6602871716); Liu, Yu (56383915700); Liu, Junguo (57200122300)","55705204100; 57204200959; 56666217500; 55802235200; 6602871716; 56383915700; 57200122300","Revealing Trade Potential for Reversing Regional Freshwater Boundary Exceedance","2023","Environmental Science and Technology","57","31","","11520","11530","10","6","10.1021/acs.est.3c01699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167468627&doi=10.1021%2facs.est.3c01699&partnerID=40&md5=8af9441331d1af9d9a7b39d7d1453b69","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85167468627"
"Jiang L.; Li Y.; Zhao X.; Tillotson M.R.; Wang W.; Zhang S.; Sarpong L.; Asmaa Q.; Pan B.","Jiang, Long (56547732400); Li, Yiping (36063743000); Zhao, Xu (55705204100); Tillotson, Martin R. (6602871716); Wang, Wencai (57215072527); Zhang, Shuangshuang (58368961100); Sarpong, Linda (57201009642); Asmaa, Qhtan (57194693988); Pan, Baozhu (15760726600)","56547732400; 36063743000; 55705204100; 6602871716; 57215072527; 58368961100; 57201009642; 57194693988; 15760726600","Parameter uncertainty and sensitivity analysis of water quality model in Lake Taihu, China","2018","Ecological Modelling","375","","","1","12","11","66","10.1016/j.ecolmodel.2018.02.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042867016&doi=10.1016%2fj.ecolmodel.2018.02.014&partnerID=40&md5=f6cc1c250ae92ed3cf1b7c223c568300","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85042867016"
"Yue J.; Guo W.; Liang S.; Tillotson M.R.; Zhu Y.; Li D.; Du L.; Li J.; Zhao X.","Yue, Junhui (57349892600); Guo, Wei (57226073378); Liang, Shengxu (59180944300); Tillotson, Martin R. (6602871716); Zhu, Yuhan (57209917454); Li, Dongyue (57220180474); Du, Linzhu (57222423294); Li, Jun (55989013300); Zhao, Xu (55705204100)","57349892600; 57226073378; 59180944300; 6602871716; 57209917454; 57220180474; 57222423294; 55989013300; 55705204100","Kinetics, contributions, and pathways of the degradation of artificial sweeteners by primary and secondary radicals during UV/persulfate","2025","Separation and Purification Technology","362","","131683","","","","1","10.1016/j.seppur.2025.131683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215828048&doi=10.1016%2fj.seppur.2025.131683&partnerID=40&md5=148a9669e8475ae466986edb4248de2a","Article","Final","","Scopus","2-s2.0-85215828048"
"Zhang S.; Zhao X.; Feng K.; Hu Y.; Tillotson M.R.; Yang L.","Zhang, Shuiqin (57872140500); Zhao, Xu (55705204100); Feng, Kuishuang (35169268500); Hu, Yuanchao (56662537700); Tillotson, Martin R. (6602871716); Yang, Lin (59238635100)","57872140500; 55705204100; 35169268500; 56662537700; 6602871716; 59238635100","Do mariculture products offer better environment and nutritional choices compared to land-based protein products in China?","2022","Journal of Cleaner Production","372","","133697","","","","10","10.1016/j.jclepro.2022.133697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137164081&doi=10.1016%2fj.jclepro.2022.133697&partnerID=40&md5=8800d1e41bc8fcc9f08398e3b47729a3","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85137164081"
"Feukam Nzudie H.L.; Zhao X.; Liu G.; Tillotson M.R.; Hou S.; Li Y.","Feukam Nzudie, Harold L. (57218768632); Zhao, Xu (55705204100); Liu, Gang (57201565364); Tillotson, Martin R. (6602871716); Hou, Siyu (57204200959); Li, Yiping (36063743000)","57218768632; 55705204100; 57201565364; 6602871716; 57204200959; 36063743000","Driving force analysis for food loss changes in Cameroon","2021","Journal of Cleaner Production","278","","123892","","","","8","10.1016/j.jclepro.2020.123892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090192177&doi=10.1016%2fj.jclepro.2020.123892&partnerID=40&md5=b851ae7adac5432a6cc05bee77703030","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85090192177"
"Kay P.; Armstrong A.; McDonald A.; Parsons D.; Best J.; Peakall. J.; Walker A.; Foulger M.; Gledhill S.; Tillotson M.","Kay, Paul (57207151596); Armstrong, Alona (7201747986); McDonald, Adrian (7203088451); Parsons, Daniel (56144688000); Best, Jim (7202379170); Peakall., Jeff (6602294843); Walker, Andrew (57198958820); Foulger, Miles (25721959900); Gledhill, Sarah (35233462800); Tillotson, Martin (6602871716)","57207151596; 7201747986; 7203088451; 56144688000; 7202379170; 6602294843; 57198958820; 25721959900; 35233462800; 6602871716","A pilot study of the efficacy of residuum lodges for managing sediment delivery to impoundment reservoirs","2009","Water and Environment Journal","23","1","","52","62","10","6","10.1111/j.1747-6593.2008.00111.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61649095402&doi=10.1111%2fj.1747-6593.2008.00111.x&partnerID=40&md5=f332a157f58dd89ed6533e05b0d351c3","Article","Final","","Scopus","2-s2.0-61649095402"
"Zhao X.; Liao X.; Zhang C.; Zhang X.; Mao G.; Zhang S.; Tillotson M.R.","Zhao, Xu (55705204100); Liao, Xiawei (57191619829); Zhang, Chao (55703882900); Zhang, Xinxin (56666217500); Mao, Ganquan (57204332490); Zhang, Shuo (57200329037); Tillotson, Martin R. (6602871716)","55705204100; 57191619829; 55703882900; 56666217500; 57204332490; 57200329037; 6602871716","Unveiling the dynamic of water-electricity conflict within and beyond megacity boundary","2021","Journal of Environmental Management","286","","112259","","","","7","10.1016/j.jenvman.2021.112259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101885997&doi=10.1016%2fj.jenvman.2021.112259&partnerID=40&md5=a3e549ff75ef88570e3a0ff3cbd4fd87","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85101885997"
"Stickland A.D.; De Kretser R.G.; Kilcullen A.R.; Scales P.J.; Hillis P.; Tillotson M.R.","Stickland, Anthony D. (6507451152); De Kretser, Ross G. (6603129046); Kilcullen, Adam R. (23485249700); Scales, Peter J. (7005496789); Hillis, Peter (6602701043); Tillotson, Martin R. (6602871716)","6507451152; 6603129046; 23485249700; 7005496789; 6602701043; 6602871716","Numerical modeling of flexible-membrane plate-and-frame filtration","2008","AIChE Journal","54","2","","464","474","10","17","10.1002/aic.11369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38849192402&doi=10.1002%2faic.11369&partnerID=40&md5=c0e79b461cd6d709dfa621dba551e064","Article","Final","","Scopus","2-s2.0-38849192402"
"Zhao X.; Tillotson M.; Yang Z.; Yang H.; Liu J.","Zhao, Xu (55705204100); Tillotson, Martin (6602871716); Yang, Zhifeng (7405433398); Yang, Hong (57189931241); Liu, Junguo (57200122300)","55705204100; 6602871716; 7405433398; 57189931241; 57200122300","Reduction and reallocation of water use of products in Beijing","2016","Ecological Indicators","61","","","893","898","5","11","10.1016/j.ecolind.2015.10.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949650849&doi=10.1016%2fj.ecolind.2015.10.043&partnerID=40&md5=4450dbb188a9cdad443ed6452043cd51","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84949650849"
"Exley J.M.; Hunter T.N.; Pugh T.; Tillotson M.R.","Exley, James M. (57217119418); Hunter, Timothy N. (21734710500); Pugh, Thomas (58137417800); Tillotson, Martin R. (6602871716)","57217119418; 21734710500; 58137417800; 6602871716","Influence of flake size and electrolyte conditions on graphene oxide adsorption of ionic dyes","2023","Powder Technology","421","","118387","","","","14","10.1016/j.powtec.2023.118387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149892687&doi=10.1016%2fj.powtec.2023.118387&partnerID=40&md5=673040a9924b790e9aada427206159ad","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149892687"
