"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Hobson A.J.; Stewart D.I.; Bray A.W.; Mortimer R.J.G.; Mayes W.M.; Riley A.L.; Rogerson M.; Burke I.T.","Hobson, Andrew J. (9338433300); Stewart, Douglas I. (35305889000); Bray, Andrew W. (54396706900); Mortimer, Robert J.G. (7101740764); Mayes, William M. (16307232200); Riley, Alex L. (57197610313); Rogerson, Michael (7004689703); Burke, Ian T. (8600041800)","9338433300; 35305889000; 54396706900; 7101740764; 16307232200; 57197610313; 7004689703; 8600041800","Behaviour and fate of vanadium during the aerobic neutralisation of hyperalkaline slag leachate","2018","Science of the Total Environment","643","","","1191","1199","8","22","10.1016/j.scitotenv.2018.06.272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049316968&doi=10.1016%2fj.scitotenv.2018.06.272&partnerID=40&md5=7299c57d1ce177b577cb349735dee962","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85049316968"
"Stewart D.I.; Vasconcelos E.J.R.; Burke I.T.; Baker A.","Stewart, Douglas I. (35305889000); Vasconcelos, Elton J.R. (57216032346); Burke, Ian T. (8600041800); Baker, Alison (7403520433)","35305889000; 57216032346; 8600041800; 7403520433","Metagenomes from microbial populations beneath a chromium waste tip give insight into the mechanism of Cr (VI) reduction","2024","Science of the Total Environment","931","","172507","","","","0","10.1016/j.scitotenv.2024.172507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192089947&doi=10.1016%2fj.scitotenv.2024.172507&partnerID=40&md5=6b53bfa72be14287f41d261d2a54e516","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192089947"
"Aldmour S.T.; Burke I.T.; Bray A.W.; Baker D.L.; Ross A.B.; Gill F.L.; Cibin G.; Ries M.E.; Stewart D.I.","Aldmour, Suha T. (57205182927); Burke, Ian T. (8600041800); Bray, Andrew W. (54396706900); Baker, Daniel L. (57203745806); Ross, Andrew B. (7402567700); Gill, Fiona L. (27867747800); Cibin, Giannantonio (6603438328); Ries, Michael E. (7102933998); Stewart, Douglas I. (35305889000)","57205182927; 8600041800; 54396706900; 57203745806; 7402567700; 27867747800; 6603438328; 7102933998; 35305889000","Abiotic reduction of Cr(VI) by humic acids derived from peat and lignite: kinetics and removal mechanism","2019","Environmental Science and Pollution Research","26","5","","4717","4729","12","53","10.1007/s11356-018-3902-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058956571&doi=10.1007%2fs11356-018-3902-1&partnerID=40&md5=1fa406b928af628ec5e7c708a21903a7","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85058956571"
"Mollins L.H.; Stewart D.I.; Cousens T.W.","Mollins, L.H. (6505966555); Stewart, D.I. (35305889000); Cousens, T.W. (6603394803)","6505966555; 35305889000; 6603394803","Drained strength of bentonite-enhanced sand","1999","Geotechnique","49","4","","523","528","5","35","10.1680/geot.1999.49.4.523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033178948&doi=10.1680%2fgeot.1999.49.4.523&partnerID=40&md5=4cfc4aecb39948c866503155a0eaf9d5","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-0033178948"
"Jones C.A.; Stewart D.I.; Danilewicz C.J.","Jones, C.A. (57198787485); Stewart, D.I. (35305889000); Danilewicz, C.J. (25927832800)","57198787485; 35305889000; 25927832800","Discussion: Bridge distress caused by approach embankment settlement","2009","Proceedings of the Institution of Civil Engineers: Geotechnical Engineering","162","2","","129","132","3","0","10.1680/geng.2009.162.2.129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67949103424&doi=10.1680%2fgeng.2009.162.2.129&partnerID=40&md5=0ed71d9417e9520a190a1382c0dceade","Note","Final","","Scopus","2-s2.0-67949103424"
"Hobson A.J.; Stewart D.I.; Bray A.W.; Mortimer R.J.G.; Mayes W.M.; Rogerson M.; Burke I.T.","Hobson, Andrew J. (9338433300); Stewart, Douglas I. (35305889000); Bray, Andrew W. (54396706900); Mortimer, Robert J. G. (7101740764); Mayes, William M. (16307232200); Rogerson, Michael (7004689703); Burke, Ian T. (8600041800)","9338433300; 35305889000; 54396706900; 7101740764; 16307232200; 7004689703; 8600041800","Mechanism of Vanadium Leaching during Surface Weathering of Basic Oxygen Furnace Steel Slag Blocks: A Microfocus X-ray Absorption Spectroscopy and Electron Microscopy Study","2017","Environmental Science and Technology","51","14","","7823","7830","7","63","10.1021/acs.est.7b00874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025648489&doi=10.1021%2facs.est.7b00874&partnerID=40&md5=9cf5e7f8b1c149e23b46c3e9079f0291","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85025648489"
"Fuller S.J.; Burke I.T.; McMillan D.G.G.; Ding W.; Stewart D.I.","Fuller, Samuel J. (55640301000); Burke, Ian T. (8600041800); McMillan, Duncan G. G. (17343778400); Ding, Weixuan (56681639600); Stewart, Douglas I. (35305889000)","55640301000; 8600041800; 17343778400; 56681639600; 35305889000","Population changes in a community of alkaliphilic iron-reducing bacteria due to changes in the electron acceptor: Implications for bioremediation at alkaline Cr(VI)-contaminated sites","2015","Water, Air, and Soil Pollution","226","6","180","","","","24","10.1007/s11270-015-2437-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930959090&doi=10.1007%2fs11270-015-2437-z&partnerID=40&md5=e31a6a2b1703114e44ee028be88c5530","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84930959090"
"Fuller S.J.; McMillan D.G.G.; Renz M.B.; Schmidt M.; Burke I.T.; Stewart D.I.","Fuller, Samuel J. (55640301000); McMillan, Duncan G.G. (17343778400); Renz, Marc B. (57196669901); Schmidt, Martin (58333325000); Burke, Ian T. (8600041800); Stewart, Douglas I. (35305889000)","55640301000; 17343778400; 57196669901; 58333325000; 8600041800; 35305889000","Extracellular electron transport-mediated fe(iii) reduction by a community of alkaliphilic bacteria that use flavins as electron shuttles","2014","Applied and Environmental Microbiology","80","1","","128","137","9","105","10.1128/AEM.02282-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891070616&doi=10.1128%2fAEM.02282-13&partnerID=40&md5=3991f5f9c2455d3b108f94256b33d756","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84891070616"
"Lockwood C.L.; Stewart D.I.; Mortimer R.J.G.; Mayes W.M.; Jarvis A.P.; Gruiz K.; Burke I.T.","Lockwood, Cindy L. (55352217200); Stewart, Douglas I. (35305889000); Mortimer, Robert J. G. (7101740764); Mayes, William M. (16307232200); Jarvis, Adam P. (7006284417); Gruiz, Katalin (55939851200); Burke, Ian T. (8600041800)","55352217200; 35305889000; 7101740764; 16307232200; 7006284417; 55939851200; 8600041800","Leaching of copper and nickel in soil-water systems contaminated by bauxite residue (Red mud) from Ajka, Hungary: The importance of soil organic matter","2015","Environmental Science and Pollution Research","22","14","","10800","10810","10","57","10.1007/s11356-015-4282-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987688224&doi=10.1007%2fs11356-015-4282-4&partnerID=40&md5=2c5e001aedc01f8e4d6fb6f095d0e079","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84987688224"
"Baqer Y.; Thornton S.; Stewart D.I.; Norris S.; Chen X.H.","Baqer, Yousef (57188701864); Thornton, Steven (7101689883); Stewart, Douglas I. (35305889000); Norris, Simon (13604927500); Chen, XiaoHui (55571370200)","57188701864; 7101689883; 35305889000; 13604927500; 55571370200","Analysis of Uranium Sorption in a Laboratory Column Experiment Using a Reactive Transport and Surface Complexation Model","2023","Transport in Porous Media","149","2","","423","452","29","5","10.1007/s11242-023-01956-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160832838&doi=10.1007%2fs11242-023-01956-y&partnerID=40&md5=98ef02f6956feafa1cdf856b917987f6","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160832838"
